gene,pval_given_therapy,pval_response
TENM1,0.402699966597725,0.345101848562897
FAM76A,0.501654367761188,0.318047891490349
TRAF3IP3,0.651780156538918,0.47494355197447
POMT2,0.144273467626767,0.191601822159339
VTA1,0.00741806380186082,0.00206940475228393
BAZ1B,0.69711973340081,0.913331316269423
RANBP9,0.889080823141818,0.725794949395701
ETV7,0.000194792943784197,4.53394487609058e-05
SPRTN,0.184701237790992,0.0659766191251526
METTL13,0.781981581939156,0.701272619097058
DYRK4,0.0631285639374559,0.138651930708659
ZNF207,0.80040100308644,0.820891919274736
UQCRC1,0.0134377583569324,0.0226420076131144
STARD3NL,0.00683756242017568,0.00590215545882015
CD9,0.674748690673436,0.432042925806135
NCAPD2,0.0146158212706118,0.0978195828635987
IFFO1,0.164340528907297,0.128339878146105
GIPR,0.00554256856415976,0.00321109635192792
PHF7,0.938317605938174,0.686714075924804
