cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_6,sciRED_13,1616,18,18,0.5669586983729662,0.014835687314456277
cd8_BL,2.0,SDAN_6,sciRED_14,1616,18,18,0.5033027395355305,0.011243245584266023
cd8_BL,2.0,SDAN_6,sciRED_15,1616,18,18,0.3828744263662912,0.008679185601298064
cd8_BL,2.0,SDAN_6,sciRED_16,1616,18,18,0.5418231122236128,0.01419997414443261
cd8_BL,2.0,SDAN_6,sciRED_17,1616,18,18,0.37679043248505084,0.009367945071773444
cd8_BL,2.0,SDAN_6,sciRED_18,1616,18,18,0.5698790154359616,0.014739535301550491
cd8_BL,2.0,SDAN_6,sciRED_19,1616,18,18,0.4928035043804756,0.013829866792357648
cd8_BL,2.0,SDAN_6,sciRED_20,1616,18,18,0.40401195939368656,0.009725236942216466
cd8_BL,2.0,SDAN_6,sciRED_21,1616,18,18,0.5532610207203449,0.013571490037987818
cd8_BL,2.0,SDAN_6,sciRED_22,1616,18,18,0.49447225698790154,0.011384466262879454
cd8_BL,2.0,SDAN_6,sciRED_23,1616,18,18,0.44100264219162844,0.009978291326130567
cd8_BL,2.0,SDAN_6,sciRED_24,1616,18,18,0.5949103045473508,0.020462918437427282
cd8_BL,2.0,SDAN_6,sciRED_25,1616,18,18,0.44816437213183147,0.009836090083677106
cd8_BL,2.0,SDAN_6,sciRED_26,1616,18,18,0.5589625921290502,0.031900820177395914
cd8_BL,2.0,SDAN_6,sciRED_27,1616,18,18,0.48018356278681684,0.01340180880352824
cd8_BL,2.0,SDAN_6,sciRED_28,1616,18,18,0.6485885134195521,0.01857774896567589
cd8_BL,2.0,SDAN_6,sciRED_29,1616,18,18,0.36903768599638437,0.008913189527157243
cd8_BL,2.0,SDAN_6,sciRED_30,1616,18,18,0.5102558753998053,0.013570669371869393
cd8_BL,2.0,SDAN_6,sciRED_31,1616,18,18,0.49548046168822135,0.012892427315820538
cd8_BL,2.0,SDAN_6,sciRED_32,1616,18,18,0.5696008900013906,0.013204758291433498
